filter,alpha_ann,alpha_t,ann_ret,cagr,sharpe,max_dd,fwd30_on,fwd30_off,crashes_avoided,rallies_captured,flips_per_asset_year,time_in_market
MODEL,0.07352641814809642,0.6345516625529736,0.24349128647101154,0.10837806803867858,0.46107353211174473,-0.7042014741444981,0.022710762291084822,0.0198047377032067,0.3903489875053856,0.6518548715858133,5.661574618096357,0.6415173237753883
EMA50,,,0.18883607463790433,0.13753408994334101,0.543678053559671,-0.4097243035999265,0.02851334655450245,0.01658970058494602,0.5734597156398105,0.4317162657969833,28.200646298472385,0.4259856630824373
EMA200,,,0.16936202387696492,0.11826138618582623,0.4999590595796394,-0.36436494796189034,0.036136934636596243,0.011387989345801462,0.6199913830245584,0.43660823481451283,11.730611045828438,0.4154121863799283
GOLDEN,,,0.10644544565410766,0.03951770426390842,0.2904441754854084,-0.4739475066203058,0.017024109807930808,0.025203734152149364,0.5885394226626454,0.3791275988585406,2.144535840188014,0.43213859020310635
MACD,,,0.1716494404115584,0.0935128209176038,0.42316189589897396,-0.577301499919044,0.03351103397361594,0.008222655160319923,0.5006462731581215,0.5560538116591929,26.12044653349001,0.5317204301075269
TSMOM30,,,0.19830827026955353,0.1408575975052364,0.5421429188703507,-0.4813591872020988,0.026076627809059002,0.017808626652319384,0.5161568289530375,0.48512026090501426,31.331668625146882,0.4669056152927121
TSMOM90,,,0.12593609480394513,0.060890993792620716,0.34541920437712464,-0.5017581617684588,0.03242084314969484,0.012996516889713382,0.5657044377423525,0.47533632286995514,17.04905992949471,0.44647550776583034
DONCHIAN20_10,,,0.1645943721929726,0.12300845400613225,0.5262434460610179,-0.3823905713215757,0.027988073179552743,0.01816075639909849,0.6423955191727704,0.3721973094170404,10.014982373678025,0.35698924731182796
SUPERTREND10_3,,,0.11395500706285426,0.054747935995375634,0.32638935911175926,-0.45591166844658704,0.018717795283629553,0.023828825094610793,0.5648427401981905,0.4166326946596005,8.728260869565217,0.42258064516129035
ADX25_DI,,,0.09178932002722627,0.0673076063537306,0.3960759254434491,-0.3657804903441656,0.025481129690680285,0.020600814317394522,0.7781128823782852,0.20994700366897676,11.494712103407757,0.21887694145758663
VOTE,,,0.10764208475909426,0.05588173423766781,0.3291313079664029,-0.4882525153602054,0.023612180894947325,0.02043460924499959,0.5975872468763465,0.3860578883000408,21.29524089306698,0.38847072879330946
BUY_HOLD,,,0.22002128408993124,0.010642584691446568,0.34123914159829133,-0.7064866382958446,0.021669002819647745,,0.0,1.0,0.0,1.0
