year,oracle,ret
2022,0.5379944617774938,0.5415893440057238
2023,0.5433012655748941,0.5435398012246531
2024,0.5424418604651162,0.5233400369516522
2025,0.5482632310218516,0.5487143291491118
2026,0.5065332298366231,0.5116789092638588
