market,year,alpha_ann,t,ann_ret,cagr,sharpe,max_dd
stocks,2011,0.05863706752823434,0.7552555999905911,0.09100820201779204,0.08812652135443377,0.7949982936269765,-0.09909872124138996
stocks,2012,0.013217997318879427,0.27860471356463323,0.03670774736817861,0.03468644332017454,0.5072346121915295,-0.06376354129239636
stocks,2013,0.010545569635094792,0.26904331943437104,0.05912751372846237,0.05937117171589812,1.0976415380751625,-0.06393290270376695
stocks,2014,-0.022850153486177336,-0.4695185253039222,0.00685453010483722,0.0031011604009385857,0.07877573091533294,-0.09073298115129713
stocks,2015,0.03251937586767136,0.38658933816302543,0.1406928668543537,0.14617586711843383,1.526712564409777,-0.08077467734671373
stocks,2016,-0.10274881761160112,-1.1190590775158489,-0.1264766775741771,-0.1262188586882265,-0.9729000679812814,-0.18248570943642717
stocks,2017,-0.1483882395263088,-4.195535664428561,-0.08056532662017774,-0.08039061960963674,-1.0020059270219486,-0.08538388580137701
stocks,2018,-0.06760689071942108,-1.2867344376895025,-0.030288615973821813,-0.03645609074559111,-0.2588066977918776,-0.10595690058868534
stocks,2019,-0.08097362425264508,-1.7014807031633699,-0.014431499731058332,-0.020395697684533375,-0.1298812465504653,-0.12251766137053544
stocks,2020,0.2808100684525777,1.2280797258037939,0.4274336129140904,0.44754003573251055,1.2454839935576303,-0.376531129297901
stocks,2021,-0.03170652059536774,-0.3303091137096951,-0.10662971978003044,-0.11242776980073209,-0.671222203754187,-0.17137582595700684
stocks,2022,0.13406175334737394,1.5023767891679038,0.16602441031455464,0.16824246494087342,1.142654237609946,-0.0763150314783988
stocks,2023,-0.06172672071747889,-0.7581726230462679,-0.09036696962256191,-0.09355901346640899,-0.7214792987765071,-0.14804798790214235
stocks,2024,-0.17037063798938268,-2.941675112690704,-0.1441870253782253,-0.13986458059748522,-1.2697579047125205,-0.20276825858394254
stocks,2025,-0.12178248786571937,-1.127272289857985,0.03779280013496112,0.024441667176918428,0.22792070204066606,-0.10446556108941951
stocks,2026,-0.2420312114171717,-3.045284503331468,-0.09455668567272885,-0.10650336600092723,-0.4969173691849242,-0.136324918750109
