truth_k,strategy,coin,mcc,fpt,missed,delay,giveback,n_seg
1.0,META,BTC,0.4337527016124602,1.6625,0.2645145679283002,11.0,0.25707071174012075,159
1.0,META ablation: no 4h flow/deriv/cross,BTC,0.4368508461276592,1.65,0.2645145679283002,11.0,0.2601652821740865,159
1.0,"primary unfiltered ST(48, 3)",BTC,0.3683170524896956,3.5875,0.27827627846118247,11.0,0.2894618371978496,159
1.0,"BEST plain ST(48,4.0)",BTC,0.38085847811618684,2.3375,0.3802522467021136,16.0,0.3698593385252791,159
1.0,"ST(10,3) 1h",BTC,0.3851694544785605,3.4375,0.3306372850675674,13.0,0.32639945490837285,159
1.0,"ST(48,4) 4h projected",BTC,0.11016936015763426,0.6,0.61801069482569,47.0,0.6086366096268512,159
1.0,META,ETH,0.4196914844320952,1.6580645161290322,0.27246621415732863,11.0,0.27350301448093894,154
1.0,META ablation: no 4h flow/deriv/cross,ETH,0.42807437883344085,1.5935483870967742,0.27246621415732863,11.0,0.2636921399410448,154
1.0,"primary unfiltered ST(48, 3)",ETH,0.3646611884673318,3.606451612903226,0.30614060839719226,11.0,0.284778795654173,154
1.0,"BEST plain ST(48,4.0)",ETH,0.3696210620719346,2.2129032258064516,0.39067537986531187,18.0,0.3524243905929525,154
1.0,"ST(10,3) 1h",ETH,0.36992989053474346,3.567741935483871,0.31505210202655504,13.0,0.3065057660051413,154
1.0,"ST(48,4) 4h projected",ETH,0.1167016970307097,0.6064516129032258,0.6723062648523287,52.0,0.5998559383237323,154
1.0,META,BNB,0.4707477408911555,2.069182389937107,0.2706273267143295,9.0,0.254906516077441,159
1.0,META ablation: no 4h flow/deriv/cross,BNB,0.4465681282051523,2.2452830188679247,0.27811744248888903,9.0,0.26248935509950166,159
1.0,"primary unfiltered ST(48, 3)",BNB,0.33921040499232297,3.8050314465408803,0.30214386120309383,10.0,0.28192365984415263,159
1.0,"BEST plain ST(48,4.0)",BNB,0.3237587528753386,2.3333333333333335,0.37201501390783853,18.0,0.37109882154758406,159
1.0,"ST(10,3) 1h",BNB,0.31436336036341167,3.591194968553459,0.34285119010408643,15.0,0.3087731306607367,159
1.0,"ST(48,4) 4h projected",BNB,0.06769824545984593,0.5534591194968553,0.6566433892537001,39.0,0.556545847957185,159
1.0,META,SOL,0.4829331056984977,1.655844155844156,0.2787448355374611,10.0,0.2664180478265653,154
1.0,META ablation: no 4h flow/deriv/cross,SOL,0.47055482892567985,1.9155844155844155,0.2964184412579446,10.0,0.2894750007288591,154
1.0,"primary unfiltered ST(48, 3)",SOL,0.3951023122781526,3.720779220779221,0.3081235662242513,11.5,0.2693998546048496,154
1.0,"BEST plain ST(48,4.0)",SOL,0.412096803215414,2.344155844155844,0.3957177744727819,18.0,0.36313271492647736,154
1.0,"ST(10,3) 1h",SOL,0.4094657439718404,3.6493506493506493,0.30589206535033797,13.5,0.3029686307336663,154
1.0,"ST(48,4) 4h projected",SOL,0.16458508772791985,0.5,0.6498803656532963,43.5,0.5642329894139275,154
1.0,META,XRP,0.46986634176226516,1.6114649681528663,0.2660481553205514,9.0,0.24340242651872268,156
1.0,META ablation: no 4h flow/deriv/cross,XRP,0.48390962800949844,1.6496815286624205,0.2706001099615929,9.0,0.24344230477134263,156
1.0,"primary unfiltered ST(48, 3)",XRP,0.3264973894795238,3.4585987261146496,0.2944091963306454,9.0,0.2766542249960382,156
1.0,"BEST plain ST(48,4.0)",XRP,0.26409284855282006,2.299363057324841,0.3773539278914423,17.0,0.34824528657950826,156
1.0,"ST(10,3) 1h",XRP,0.28402258150258436,3.2038216560509554,0.352681404998718,16.0,0.3322799634022702,156
1.0,"ST(48,4) 4h projected",XRP,0.12446728595376658,0.5477707006369427,0.6469523207399255,49.5,0.575883762450691,156
1.0,META,ADA,0.531415669017494,1.6878980891719746,0.27558448598586766,9.0,0.26575814040563084,157
1.0,META ablation: no 4h flow/deriv/cross,ADA,0.5031838730507613,1.7643312101910829,0.27558448598586766,10.0,0.26881917181221504,157
1.0,"primary unfiltered ST(48, 3)",ADA,0.4343122793048347,3.4585987261146496,0.30029279466288133,10.0,0.27854914886927273,157
1.0,"BEST plain ST(48,4.0)",ADA,0.43397275168082206,2.1847133757961785,0.3643121682922282,18.0,0.3473629616972996,157
1.0,"ST(10,3) 1h",ADA,0.39092924028336573,3.4203821656050954,0.33121958828738735,14.0,0.3089812984548936,157
1.0,"ST(48,4) 4h projected",ADA,0.0903771363355934,0.6242038216560509,0.66082280091268,54.0,0.6224582028747709,157
1.0,META,DOGE,0.45237301473012037,1.6405228758169934,0.2818507270008323,10.0,0.2698147384093151,153
1.0,META ablation: no 4h flow/deriv/cross,DOGE,0.45399554892596017,1.8104575163398693,0.28483259345530215,10.0,0.2631323103798556,153
1.0,"primary unfiltered ST(48, 3)",DOGE,0.3482296612993864,3.6143790849673203,0.30729552101543356,10.0,0.2671650574080774,153
1.0,"BEST plain ST(48,4.0)",DOGE,0.31755570051921195,2.372549019607843,0.39468556319079606,17.0,0.34260682253898167,153
1.0,"ST(10,3) 1h",DOGE,0.37288429672302914,3.4052287581699345,0.3295790201178824,14.0,0.301831043819045,153
1.0,"ST(48,4) 4h projected",DOGE,0.08011049846634205,0.6339869281045751,0.6966054111505862,48.0,0.6029096021954469,153
1.0,META,LINK,0.471329390557423,1.5508982035928143,0.28258881785113044,10.0,0.27779382785436374,167
1.0,META ablation: no 4h flow/deriv/cross,LINK,0.4697571818934576,1.598802395209581,0.28258881785113044,10.0,0.27917031057687325,167
1.0,"primary unfiltered ST(48, 3)",LINK,0.35141810029277454,3.2634730538922154,0.3149356320072207,10.0,0.29553576111094654,167
1.0,"BEST plain ST(48,4.0)",LINK,0.36024875507937404,2.18562874251497,0.3992244426118005,18.0,0.36577498703607925,167
1.0,"ST(10,3) 1h",LINK,0.3579895974075607,3.2395209580838324,0.3374092238748252,13.0,0.3249215405187018,167
1.0,"ST(48,4) 4h projected",LINK,0.09826538560883916,0.5209580838323353,0.6518526550064995,48.0,0.5791737170495995,167
1.0,META,AVAX,0.4917898634450447,1.458100558659218,0.26190910296935715,10.0,0.2702379799752124,179
1.0,META ablation: no 4h flow/deriv/cross,AVAX,0.49480402395885165,1.5251396648044693,0.26346098519821837,10.0,0.2702379799752124,179
1.0,"primary unfiltered ST(48, 3)",AVAX,0.4071833941908539,3.1340782122905027,0.29878978372993503,11.0,0.29418367222580605,179
1.0,"BEST plain ST(48,4.0)",AVAX,0.37157344763917444,2.0279329608938546,0.39478352607757633,18.0,0.3493859985217169,179
1.0,"ST(10,3) 1h",AVAX,0.36761204148309834,3.201117318435754,0.3248092411546957,12.0,0.3085485689451378,179
1.0,"ST(48,4) 4h projected",AVAX,0.16100791134682996,0.5195530726256983,0.6701684420893083,46.0,0.6314030411210921,179
1.0,META,TRX,0.46117004411657464,2.3160919540229883,0.25012334501620087,8.0,0.2317678212875025,173
1.0,META ablation: no 4h flow/deriv/cross,TRX,0.4580036842247231,2.4195402298850577,0.2516582375194047,8.0,0.2416887648858494,173
1.0,"primary unfiltered ST(48, 3)",TRX,0.3760902334426727,3.8563218390804597,0.27097582817069477,8.0,0.25040343515481495,173
1.0,"BEST plain ST(48,4.0)",TRX,0.4062163236872645,2.4942528735632186,0.3456003868356854,13.0,0.3125260344846736,173
1.0,"ST(10,3) 1h",TRX,0.3843729045889938,3.735632183908046,0.2856137145576512,9.0,0.27624747060370713,173
1.0,"ST(48,4) 4h projected",TRX,0.21836229929631912,0.632183908045977,0.6145300782028135,40.0,0.5561580878559526,173
2.0,META,BTC,0.3494165492512392,5.32,0.14203802519493425,9.0,0.144223637201143,50
2.0,META ablation: no 4h flow/deriv/cross,BTC,0.3460015752152999,5.28,0.1570479225548732,9.5,0.14529845439559008,50
2.0,"primary unfiltered ST(48, 3)",BTC,0.2577856861464323,11.48,0.17060960378285045,11.0,0.14651179925518268,50
2.0,"BEST plain ST(48,4.0)",BTC,0.3016726052146747,7.48,0.20206106475064545,16.5,0.1928187183716193,50
2.0,"ST(10,3) 1h",BTC,0.28794813359341725,11.0,0.17070517166726995,13.5,0.17540721472631,50
2.0,"ST(48,4) 4h projected",BTC,0.35528705881544353,1.92,0.4659422721028328,67.0,0.4419720811444628,50
2.0,META,ETH,0.2813863636263629,5.711111111111111,0.16348346700832275,9.0,0.14855411693027115,45
2.0,META ablation: no 4h flow/deriv/cross,ETH,0.2957304729756473,5.488888888888889,0.1609145651518926,9.0,0.1456467318307647,45
2.0,"primary unfiltered ST(48, 3)",ETH,0.23835659252828284,12.422222222222222,0.1609145651518926,10.0,0.15584826319920914,45
2.0,"BEST plain ST(48,4.0)",ETH,0.2875012521207483,7.622222222222222,0.20927080477652027,16.0,0.19489610266646107,45
2.0,"ST(10,3) 1h",ETH,0.2719980165387731,12.28888888888889,0.1820171416371169,14.0,0.1594424068276298,45
2.0,"ST(48,4) 4h projected",ETH,0.3423700695705334,2.088888888888889,0.46168890837583626,63.0,0.40019170314060465,45
2.0,META,BNB,0.27898470089238825,7.651162790697675,0.1350265642726112,6.0,0.13820893488174862,43
2.0,META ablation: no 4h flow/deriv/cross,BNB,0.25990650998819653,8.30232558139535,0.1350265642726112,6.0,0.13820893488174862,43
2.0,"primary unfiltered ST(48, 3)",BNB,0.17794633282702432,14.069767441860465,0.15248390011200053,6.0,0.14524906709425214,43
2.0,"BEST plain ST(48,4.0)",BNB,0.21502756653106092,8.627906976744185,0.1995129911540573,19.0,0.18179399856975936,43
2.0,"ST(10,3) 1h",BNB,0.22991757719457795,13.279069767441861,0.19182578998521238,16.0,0.19043252789419995,43
2.0,"ST(48,4) 4h projected",BNB,0.4857652042498903,2.046511627906977,0.40420510544704996,70.0,0.3812536674788598,43
2.0,META,SOL,0.3017947092946687,5.204081632653061,0.1552501158125008,9.0,0.15176960643895596,49
2.0,META ablation: no 4h flow/deriv/cross,SOL,0.3068706682436432,6.020408163265306,0.158858045894713,10.0,0.15176960643895596,49
2.0,"primary unfiltered ST(48, 3)",SOL,0.2409306123503684,11.693877551020408,0.1552501158125008,13.0,0.15176960643895596,49
2.0,"BEST plain ST(48,4.0)",SOL,0.32769418453044813,7.36734693877551,0.19767736667809638,17.0,0.19493799403164982,49
2.0,"ST(10,3) 1h",SOL,0.28763933031158856,11.46938775510204,0.16295891893376185,14.0,0.17562392974353874,49
2.0,"ST(48,4) 4h projected",SOL,0.49791315195999186,1.5714285714285714,0.4425533991845536,63.0,0.41988376024353763,49
2.0,META,XRP,0.3599792733916598,4.773584905660377,0.17019872947065848,8.0,0.16667848943996913,53
2.0,META ablation: no 4h flow/deriv/cross,XRP,0.365848122354718,4.886792452830188,0.17019872947065848,8.0,0.16667848943996913,53
2.0,"primary unfiltered ST(48, 3)",XRP,0.21734727418130964,10.245283018867925,0.17844000023325562,7.0,0.1698618700110055,53
2.0,"BEST plain ST(48,4.0)",XRP,0.2084740829989243,6.811320754716981,0.22659966874264734,15.0,0.21389001126031776,53
2.0,"ST(10,3) 1h",XRP,0.24357272387405068,9.49056603773585,0.21560113746568116,17.0,0.20308686443773732,53
2.0,"ST(48,4) 4h projected",XRP,0.3294446362350922,1.6226415094339623,0.4648814772006107,79.0,0.45204931381803076,53
2.0,META,ADA,0.3602122013056478,5.196078431372549,0.15447998237875984,8.0,0.15655224960234954,51
2.0,META ablation: no 4h flow/deriv/cross,ADA,0.30831797338376316,5.431372549019608,0.1517061934669705,8.0,0.15655224960234954,51
2.0,"primary unfiltered ST(48, 3)",ADA,0.2969280463581217,10.647058823529411,0.16373246513827674,8.0,0.15655224960234954,51
2.0,"BEST plain ST(48,4.0)",ADA,0.2991329095484031,6.7254901960784315,0.20652800312259423,16.0,0.20425956044913443,51
2.0,"ST(10,3) 1h",ADA,0.2947216585415317,10.529411764705882,0.18688011994287373,13.0,0.17551774901834472,51
2.0,"ST(48,4) 4h projected",ADA,0.2954364361777466,1.9215686274509804,0.4436258326477423,63.0,0.43244017651776445,51
2.0,META,DOGE,0.35794793615314097,5.5777777777777775,0.13144888047390776,5.0,0.1302572780458708,45
