year,alpha_ann,t,ann_ret,cagr,sharpe,max_dd
2011,0.1847828183367593,2.5534822219114623,0.24521595423390877,0.27167384008786927,2.501860957754592,-0.03840283850551629
2012,0.06250110858790997,1.8601357640646725,0.01908437030329383,0.01256811340713578,0.16579268875863235,-0.11901610873856316
2013,0.10591990718501954,1.979056285701682,0.07420513612561305,0.07439132171835139,1.059876764803849,-0.040665418572328416
2014,-0.013043659432994965,-0.1534835464385214,-0.014294513162269644,-0.020097316706593833,-0.13048819519341612,-0.14341518558917454
2015,0.03610955815935389,0.9626557161726073,0.233069922682219,0.25258230053848263,1.869020049504982,-0.1035403958707567
2016,0.0017649164948145342,0.05692712099039845,-0.08366677625821776,-0.08393010342326143,-0.9360743368079034,-0.13518459419613116
2017,-0.12976230990682142,-1.5886793281526133,-0.15778213217207726,-0.14929252352935565,-1.7884877594058204,-0.1460080954241817
2018,0.06032554115837106,0.8759975685384356,0.12500989898128606,0.12512417877869134,1.0496106339626305,-0.08442080396561591
2019,0.15984053564336817,3.189242177951139,0.16722294676643107,0.17531047381140347,1.5687251170005845,-0.06343423513629742
2020,0.061828788562519776,0.5472870940107321,0.08069127717325857,0.07402186257473567,0.5902907059568607,-0.11009741462169431
2021,-0.08847590437755122,-1.3254624621276587,-0.10124274202361384,-0.09905015010682147,-1.2957160987595018,-0.11327588315160497
2022,0.009307827865579304,0.15110944046766858,0.02471356185874503,0.016519890939584368,0.19134758977710437,-0.09811573324139866
2023,-0.0266312457753516,-0.33053692611781404,-0.03652836493525733,-0.03975316705063824,-0.40611598054668424,-0.10992771142132007
2024,-0.009279176004787565,-0.17644573515491083,-0.145049574475516,-0.13954726340274234,-1.4204625262384554,-0.16853369121941864
2025,0.06891436912591117,1.1298492165055827,0.045087724670969845,0.040235206141252214,0.4234534454375387,-0.08806467842883248
2026,-0.04800770022272631,-0.9890885963811183,0.04560339359560962,0.03945193475316435,0.3870677682283723,-0.07780596819245489
