group,tf,n,model_mcc,model_flips,best_frozen_baseline,best_frozen_baseline_mcc,P1,model_front_le2,best_baseline_front_le2,P2,share_instruments_model_wins,P3,hindsight_best_baseline_mcc,hindsight_best_family
FX,1h,6,0.4464205360062796,1.7873228719629146,Price vs EMA,0.46338931343620365,False,0.4483962143700573,0.4270235943815826,True,0.0,False,0.46338931343620365,Price vs EMA
FX,4h,6,0.44339850573796985,1.9231150862031239,Price vs EMA,0.4560824794102544,False,0.44666370594638755,0.410726828371132,True,0.3333333333333333,False,0.4560824794102544,Price vs EMA
Indices,1h,9,0.4437426883704172,1.8573195749147426,Price vs EMA,0.4585066544933272,False,0.44404435043832136,0.42652790704767823,True,0.1111111111111111,False,0.4585066544933272,Price vs EMA
Indices,4h,9,0.44981469557047254,1.8336286602152028,Price vs EMA,0.4515444730818734,False,0.4503015701278535,0.42663230297225385,True,0.5555555555555556,False,0.4515444730818734,Price vs EMA
Stocks,1D,50,0.4190231166097624,2.1220418402423347,Price vs EMA,0.41737395368601926,True,0.3987986899632945,0.3746495777281329,True,0.38,False,0.41737395368601926,Price vs EMA
