group,year,alpha_ann,t
Stocks all (1D),2011,0.03325061893288669,0.6737421029364044
Stocks all (1D),2012,-0.001473624009853953,-0.031184507940563506
Stocks all (1D),2013,0.01528073037696173,0.3466698496550491
Stocks all (1D),2014,0.003881968440014024,0.14528223767889997
Stocks all (1D),2015,0.004641558329024876,0.2820464178050545
Stocks all (1D),2016,-0.12657548620579456,-2.805030155404956
Stocks all (1D),2017,-0.010938766914567848,-0.37623584120935466
Stocks all (1D),2018,0.08727457489614072,2.5548832383048645
Stocks all (1D),2019,-0.016024356503040647,-0.5974302625932998
Stocks all (1D),2020,-0.1407376259809113,-1.8149085564761263
Stocks all (1D),2021,0.0207839092051514,0.46846394178090073
Stocks all (1D),2022,0.04208672667899883,0.8657002936847628
Stocks all (1D),2023,-0.09082627801463167,-2.447096529498233
Stocks all (1D),2024,0.029482797009678395,1.11603041738069
Stocks all (1D),2025,0.06961479626868869,0.7928941862385513
Stocks all (1D),2026,-0.003283081913422196,-0.10808264528809292
Stocks top-50 A (1D),2011,0.03857358416320072,0.8940028980948813
Stocks top-50 A (1D),2012,-0.019839898698987484,-0.37370754256827093
Stocks top-50 A (1D),2013,0.08915591503267797,2.007871985952159
Stocks top-50 A (1D),2014,-0.02372729141645784,-0.817606386018736
Stocks top-50 A (1D),2015,-0.011504440325771423,-0.6284089548480465
Stocks top-50 A (1D),2016,-0.053411778262936256,-1.3883683095969188
Stocks top-50 A (1D),2017,-0.044038865176933936,-1.4283191714770178
Stocks top-50 A (1D),2018,0.11407232269331274,2.3554168953875356
Stocks top-50 A (1D),2019,-0.0012323163012467055,-0.03516364967516099
Stocks top-50 A (1D),2020,-0.17129010855728627,-1.9390729164381528
Stocks top-50 A (1D),2021,-0.0031160719292202127,-0.09198059923163354
Stocks top-50 A (1D),2022,0.11667354600703499,2.3664568464119986
Stocks top-50 A (1D),2023,-0.11027238500662814,-2.371043231875467
Stocks top-50 A (1D),2024,0.009481728797253449,0.39806458696525304
Stocks top-50 A (1D),2025,0.09439278768097997,1.0102763477679164
Stocks top-50 A (1D),2026,0.0072946969086346465,0.2175678241419484
Crypto 4h,2021,0.498989913568643,1.2618056949554752
Crypto 4h,2022,0.4514660859978214,1.273837874395967
Crypto 4h,2023,-0.26425263770600177,-1.1198621595914764
Crypto 4h,2024,0.203659695031841,0.7079788630431645
Crypto 4h,2025,0.04291315400215002,0.1518758955383345
Crypto 4h,2026,-0.07570638801881478,-0.3612985781044923
Crypto 1D,2021,-0.06220126730135452,-0.5287560637281152
Crypto 1D,2022,0.10220952719940593,0.31640925096576944
Crypto 1D,2023,-0.11451928896693316,-0.5689939979455833
Crypto 1D,2024,-0.1858974781468285,-0.5779826129647418
Crypto 1D,2025,-0.11466489199122443,-0.6166063447129955
Crypto 1D,2026,0.20540676969627158,0.645720455327195
