year,alpha_ann,t,ann_ret,cagr,sharpe,max_dd
2014,0.16942045114460602,3.3509064394445476,0.6304001508559662,0.8448174368108224,3.386535139409637,-0.08771084641715654
2015,0.04084073834704576,1.3899208988727636,0.16374172136283843,0.16226084602724766,1.0032824756766083,-0.13637071660564737
2016,0.10089664819210363,2.665074236592374,0.1584952381765112,0.1361429378904353,0.6393983517533,-0.24135920817832657
2017,0.032405271957809303,0.796686032400144,0.47447100301532846,0.5900081149744677,3.307200563231427,-0.08465108596976689
2018,0.03360199991616071,0.6228434940373658,-0.09964042989098396,-0.1159659100870983,-0.4589948285245258,-0.24876742646592997
2019,-0.00033586090348076373,-0.00907214401423893,0.04249775305418116,0.02946063125408963,0.2575324887388017,-0.20623193236279724
2020,0.15186911811570175,1.7556309627694913,0.4567760848343854,0.49121234450262696,1.3657173533005433,-0.4005134482640875
2021,0.09011964947740259,2.4614033698321,0.5596935686396459,0.7280231353109341,3.5899415662655088,-0.06761973444756575
2022,0.030847937811765192,0.5714880490518796,0.15812946733131672,0.13724412203759842,0.6514448280676375,-0.21442528958702922
2023,-0.005304106155662008,-0.1980109152952217,0.3486839632373517,0.40565849003409377,2.767162127199809,-0.08435274435756501
2024,0.03208133806339127,0.8537869058874301,0.26172473556419634,0.27908281622241704,1.4886766528588995,-0.10596835581352793
2025,0.005586976239954635,0.2511695634459139,0.06685388125968343,0.05113966740105815,0.3640036275690509,-0.17603556003066068
2026,0.024548205860779278,0.6937927182645011,0.16384188227020152,0.16358582846184852,1.0414802639198615,-0.11423621758759173
