strategy,sharpe,vol_ann,cagr,maxdd,calmar
"SuperTrend(48,4) 1h, equal size",0.6005098910292984,0.3615764975199154,0.1639639361021481,-0.4656782560767402,0.3520970411706921
"SuperTrend(48,4) 1h, inverse-vol size (trailing 30d)",0.8692312249324826,0.1926155479750217,0.1605316677307329,-0.30376003390888573,0.5284818600556423
