test,alpha_ann,t,ann_ret,cagr,sharpe,max_dd
"long-only (primary, 20bp, delist -30%)",0.009296343300919316,0.33738356819261833,0.11480334481437361,0.09440763042016961,0.5179051287077835,-0.5015850120829659
"long-only, 40bp costs",-0.01658588174345098,-0.6016302789573613,0.08890209248210539,0.06642837254054203,0.4010422956468913,-0.508464865202682
"long-only, delisting 0%",0.008557791831010606,0.3104644086258663,0.11406598472328597,0.09360101390929834,0.5145767683249776,-0.5015850120829659
"long-only, delisting -100%",0.011019630064039661,0.40018056809406455,0.11652385169357816,0.09629080142287255,0.5256592407297718,-0.5015850120829659
"long-only, survivors only",0.015204003319222205,0.5644231558173242,0.11929493686605983,0.09964095166972949,0.541265510084693,-0.4940644710901513
"long-only, more liquid half",-0.0007850835277201403,-0.02664573011395794,0.10810675338448177,0.08302271718978084,0.45406269799532134,-0.5191248921977177
"long-only, less liquid half",0.017537428388346113,0.6525939193903049,0.11921324876682832,0.10528297019333945,0.6102238668536102,-0.47602352614698296
