year,"BEST plain ST(48,4.0)",META,"primary unfiltered ST(48, 4)"
2024,0.40512248804348483,0.38334545155867905,0.40512248804348483
2025,0.3479828983256335,0.3324876601683205,0.3479828983256335
2026,0.3357720083800757,0.3103501048439193,0.3357720083800757
