year,alpha_ann,t,ann_ret,cagr,sharpe,max_dd
2011,0.00940877941968077,0.25026585107441945,0.05360556250756732,0.017253470755821454,0.1983037239860972,-0.26515460280971925
2012,0.07685056986273742,2.201201936545669,0.20453036109366712,0.21202456182202079,1.3074714011825899,-0.12001682781468515
2013,0.06709765017319404,2.042770858108648,0.3015625246884968,0.34386388780344807,2.7858877003085976,-0.052972141680386664
2014,0.04620311076111676,2.4496108010630975,0.06300933231424957,0.05227153495604404,0.40449649728641884,-0.11304270621749801
2015,0.02824877278288513,0.9703424962190405,-0.040124384720965134,-0.05212831790393137,-0.244714138060977,-0.1496715578165344
2016,0.0013647878058818644,0.032949129600056484,0.232499818432954,0.24310212984492702,1.3489197690372872,-0.1323069721794764
2017,-0.07076921077273061,-2.0952225834217204,0.12424262215763125,0.12415479034995389,1.0350254884296106,-0.06467559090315833
2018,-0.019620297341053666,-1.3171226207652145,-0.14071579580227225,-0.14458828810318367,-0.8021160395551553,-0.26066656929559684
2019,0.037532695664862135,1.3568035127142755,0.24841072525698066,0.26859706825212487,1.7195825777071356,-0.09935505763934649
2020,-0.06733447967441396,-1.0489366929107526,0.2241168024339504,0.1404430407408196,0.5198943255166537,-0.5015850120829661
2021,-0.019337370458581818,-0.5508821056412202,0.2355065708470772,0.23012406217722947,0.9897798007061336,-0.1219874084209207
2022,0.060592190792488905,1.7356909910570602,-0.1715579004459833,-0.19703431559554493,-0.5533263766771284,-0.28142393676386945
2023,0.05449870605408439,1.227568548256205,0.1519152538634279,0.1335525606900373,0.6568701869912809,-0.22292244683746376
2024,-0.05686479636116356,-1.7168452768616367,0.08069629202484888,0.06072207647247156,0.3864924049071908,-0.11017526126661314
2025,-0.021761036678299362,-0.6442945179869765,0.09772165788253846,0.06972904364239957,0.39598842486300345,-0.250842920918079
2026,0.07867884033655553,0.3958752824004437,0.1888605843350227,0.1902551443595857,1.0985535100085455,-0.11227312138796519
