,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
ret_1,296.45975571870804,290.54616272449493,270.9658971428871,300.6931062936783,267.9366151690483,277.51440650224686,284.1580666899681,249.06374979019165,259.710661649704,233.75443750619888,310.4377998113632,338.7827668786049,363.67249619960785,364.94426304101944,341.36337000131607,275.1702369451523
nret_1,186.87263655662537,200.50967401266098,185.14936834573746,211.9038309454918,186.50905925035477,173.8536479473114,198.19464820623398,206.71186691522598,191.93196445703506,178.5383586883545,175.88949263095856,184.11462444067,183.8349086046219,181.26098173856735,154.8867312669754,175.4776650071144
ret_3,184.0634824037552,174.06823951005936,200.85547691583633,179.97271519899368,223.43972545862198,215.2891007065773,207.86467063426971,194.1963860988617,205.60459023714066,186.80603152513504,303.5287945866585,293.6948295235634,283.7597582936287,269.3995866179466,287.48304092884064,280.8467288017273
nret_3,114.30398857593536,107.21267503499985,117.27735328674316,115.79945123195648,120.62478232383728,130.38454365730286,113.51436024904251,83.47218906879425,105.76656609773636,103.40507459640503,167.62689226865768,135.36226522922516,118.96815592050552,162.20407235622406,140.7942059636116,134.33866280317307
ret_7,390.0009686946869,412.8476344347,413.42370903491974,394.4875862598419,413.6760056614876,446.2780812382698,402.9929780960083,420.5024118423462,422.45172649621964,387.77884417772293,406.3262707591057,406.9217806458473,412.59630793333054,388.82764130830765,362.31585043668747,373.0616841316223
nret_7,137.23226302862167,135.63623529672623,147.58264142274857,141.97614002227783,133.16222375631332,149.41536247730255,144.9207108616829,140.7489520907402,170.55918323993683,156.62839144468307,137.5509421825409,130.7979074716568,140.77507096529007,118.76113718748093,126.09676116704941,132.16892439126968
ret_14,115.61171793937683,127.94927668571472,133.79454463720322,139.02145779132843,137.88741785287857,132.21594220399857,168.01688086986542,161.39747893810272,127.10680598020554,151.14128696918488,146.33038878440857,140.85318380594254,142.8453801870346,132.5645540356636,129.52236485481262,143.4350443482399
nret_14,74.38347202539444,76.773346722126,92.69220703840256,78.54831486940384,81.52122563123703,91.6232880949974,82.01855629682541,86.11675918102264,74.01399368047714,100.15354984998703,83.79678988456726,84.04697489738464,88.26663029193878,56.48026895523071,71.71134507656097,74.92070883512497
ret_30,154.36974906921387,159.41938465833664,129.72906291484833,117.08230599761009,165.4441527724266,127.32597231864929,122.79808205366135,131.68542689085007,138.46991127729416,142.92043375968933,128.87927043437958,157.6551206111908,150.26139944791794,145.89581608772278,165.27202528715134,140.06667113304138
nret_30,143.10649663209915,162.53620195388794,124.3633564710617,151.73012313246727,135.3767889738083,150.28863632678986,146.33286476135254,139.03160345554352,134.54336285591125,117.68244737386703,93.61453318595886,114.25174605846405,105.3135616183281,109.67059195041656,105.21467620134354,120.92335879802704
