n,acc,bal_acc,mcc,capture,flips_per_oracle_flip,flip_precision,entry_lag_frac,missed_move_frac,exit_giveback_frac,ls_sharpe,lf_sharpe,bh_sharpe,tf,asset,clf,period
2922,0.7378507871321013,0.7073789055900652,0.4384221015103046,0.1945950398931835,8.235294117647058,0.5642857142857143,0.08196721311475409,0.2261195561770022,0.26612288958580405,0.5116457355740234,0.6654324400474113,0.49635338643830906,1D,BTCUSDT,"STOCK model (accurate, unchanged)",all history
2922,0.7241615331964408,0.6924746768652934,0.407910459922013,0.2071079725817548,2.6470588235294117,0.6666666666666666,0.1781609195402299,0.3607167998794758,0.3034138103406323,0.5861699430789805,0.7029037840299003,0.49635338643830906,1D,BTCUSDT,"STOCK model (calm, unchanged)",all history
2922,0.6906228610540726,0.6810878970474095,0.35929483538919804,0.20087725145719434,4.882352941176471,0.5903614457831325,0.12090680100755667,0.2521425468903036,0.3563776275220979,0.5527541975431088,0.7361007426324797,0.49635338643830906,1D,BTCUSDT,EMA200,all history
2922,0.7084188911704312,0.7127894990708117,0.4167157558647946,0.28819151385119485,5.705882352941177,0.5876288659793815,0.11242603550295859,0.25464182448492,0.2604735564514379,0.8020971810510196,0.9582123525223486,0.49635338643830906,1D,BTCUSDT,EMA cross (stock-tuned),all history
2922,0.7101300479123888,0.7131638676757561,0.4177378017258109,0.2791341044710717,11.058823529411764,0.5478723404255319,0.10650887573964497,0.2127661289452524,0.23192967616722557,0.7392248963653161,0.9079708470779045,0.49635338643830906,1D,BTCUSDT,Price vs EMA (stock-tuned),all history
2922,0.7073921971252567,0.710302114729654,0.4121296168217656,0.14258643022786296,3.9411764705882355,0.6268656716417911,0.07734806629834254,0.2518754670879108,0.2943587745969308,0.3889699102088477,0.6748135814790706,0.49635338643830906,1D,BTCUSDT,SuperTrend (stock-tuned),all history
2922,0.714236824093087,0.7045051552197366,0.4065988010717066,0.04083154882545857,3.411764705882353,0.6206896551724138,0.09183673469387756,0.27299159377055565,0.2802408320913674,0.09587160168651664,0.42176497708174937,0.49635338643830906,1D,BTCUSDT,Online directional-change (stock-tuned),all history
2922,0.6824093086926762,0.6789038761474068,0.35204092050574853,0.21369842699915362,1.4705882352941178,0.8,0.3673469387755102,0.3454151680347208,0.42870602929687257,0.6134223132059115,0.7970041899243931,0.49635338643830906,1D,BTCUSDT,EMA cross (stock calm-tuned),all history
2922,0.7049965776865161,0.7130828238508794,0.41686295462551476,0.2204557033003289,2.5294117647058822,0.6976744186046512,0.12090680100755667,0.27267198688634153,0.2943587745969308,0.6258720527382148,0.8522571199361186,0.49635338643830906,1D,BTCUSDT,SuperTrend (stock calm-tuned),all history
2922,0.6861738535249828,0.6684732175867548,0.3395152718932542,0.14295485997595533,1.5294117647058822,0.8076923076923077,0.32653061224489793,0.3702099265725501,0.3881929320659745,0.40645380703625145,0.6277320356801315,0.49635338643830906,1D,BTCUSDT,Online directional-change (stock calm-tuned),all history
2820,0.7425531914893617,0.706835530585061,0.4376033835289461,0.22223798395475722,7.75,0.5645161290322581,0.08335648791330924,0.25261939669312716,0.2652323597870876,0.5817230508610629,0.7925665577588408,0.6372699870762188,1D,BTCUSDT,"STOCK model (accurate, unchanged)",2019-2026
2820,0.7244680851063829,0.6853931145189385,0.39563370094984046,0.21275151770890322,2.5,0.675,0.2120312794422461,0.38661604752416834,0.3218279844505745,0.5896535734748013,0.7839841664805092,0.6372699870762188,1D,BTCUSDT,"STOCK model (calm, unchanged)",2019-2026
2820,0.6854609929078014,0.670162488472967,0.33787985975114665,0.1721337348246579,5.1875,0.5903614457831325,0.24412686989153345,0.24290371262439553,0.34969166705840665,0.45585818582407267,0.7493150707536433,0.6372699870762188,1D,BTCUSDT,EMA200,2019-2026
2820,0.7046099290780142,0.7065324123091636,0.4024088646160588,0.26992941878899684,5.9375,0.5894736842105263,0.13954635108481261,0.2638167091277378,0.26951825409720065,0.7297130396721033,0.985842734960305,0.6372699870762188,1D,BTCUSDT,EMA cross (stock-tuned),2019-2026
2820,0.7095744680851064,0.7108977424092353,0.41116843920033724,0.26873608391208853,11.1875,0.547486033519553,0.11072570223763858,0.23172895902135066,0.2294100101745036,0.6912704169289887,0.9543458427678834,0.6372699870762188,1D,BTCUSDT,Price vs EMA (stock-tuned),2019-2026
2820,0.6985815602836879,0.6993248147136173,0.38858081233054403,0.11936602725068189,4.125,0.6212121212121212,0.07949035967978352,0.26227372698712614,0.27457561007971654,0.3125029983763128,0.7128025925804583,0.6372699870762188,1D,BTCUSDT,SuperTrend (stock-tuned),2019-2026
2820,0.7340425531914894,0.7293719474708835,0.4503915917175146,0.08566743457758778,3.625,0.6206896551724138,0.09100033456005353,0.2728317903284486,0.2802408320913674,0.2198396261229263,0.6260478382285835,0.6372699870762188,1D,BTCUSDT,Online directional-change (stock-tuned),2019-2026
2820,0.676950354609929,0.6688891782506232,0.3315927274855203,0.18580851225917147,1.5625,0.8,0.36994797919167666,0.39180828101564025,0.4247047835580585,0.5190364268862322,0.8113155977913838,0.6372699870762188,1D,BTCUSDT,EMA cross (stock calm-tuned),2019-2026
2820,0.700354609929078,0.7065270757197992,0.4014642189757869,0.19301567116434973,2.6875,0.6976744186046512,0.1968170368674147,0.2728317903284486,0.2956253895683879,0.5320150974033037,0.8675645946355468,0.6372699870762188,1D,BTCUSDT,SuperTrend (stock calm-tuned),2019-2026
2820,0.7056737588652482,0.6909762543119642,0.3796257939700296,0.1944064676276404,1.5625,0.84,0.3822002173650525,0.36013298233958724,0.3881929320659745,0.5434404468881656,0.8396740946642041,0.6372699870762188,1D,BTCUSDT,Online directional-change (stock calm-tuned),2019-2026
2922,0.7104722792607803,0.6921636431801605,0.4043555509464942,0.18150582747655927,6.823529411764706,0.5775862068965517,0.15053763440860216,0.2259855633033306,0.24013067327901763,0.5126270006935754,0.5729592860182012,0.35692240345515286,1D,ETHUSDT,"STOCK model (accurate, unchanged)",all history
2922,0.6937029431895961,0.676321005803703,0.3685376720602856,0.09433855407684165,2.764705882352941,0.6382978723404256,0.22580645161290322,0.3403493388296604,0.33205523759051014,0.27035053710073126,0.3821358607424262,0.35692240345515286,1D,ETHUSDT,"STOCK model (calm, unchanged)",all history
2922,0.6420260095824778,0.6419096626916168,0.28166672266120824,0.15875168639450998,3.3529411764705883,0.6140350877192983,0.26576576576576577,0.4198019829914911,0.34842116261427025,0.46178787379518604,0.5547835136196076,0.35692240345515286,1D,ETHUSDT,EMA200,all history
2922,0.714236824093087,0.7146646042711025,0.42626353547054036,0.2329493706710774,4.529411764705882,0.5974025974025974,0.14414414414414414,0.2994295292245959,0.291080960013362,0.6797268122810505,0.7376375383429765,0.35692240345515286,1D,ETHUSDT,EMA cross (stock-tuned),all history
2922,0.7214236824093087,0.7224650422522731,0.44160362230384353,0.1904069337303702,11.470588235294118,0.5435897435897435,0.08620689655172414,0.22830970358282998,0.26623721784382975,0.5155539254966617,0.636394544738029,0.35692240345515286,1D,ETHUSDT,Price vs EMA (stock-tuned),all history
2922,0.6909650924024641,0.6959267846398851,0.3887343416934536,0.19107560137090374,3.411764705882353,0.6379310344827587,0.10749185667752444,0.25722809698347443,0.29391268950366145,0.5589812187435751,0.6921750356630201,0.35692240345515286,1D,ETHUSDT,SuperTrend (stock-tuned),all history
2922,0.6718001368925394,0.6690953168789482,0.33661331021777857,0.20502427267838377,2.823529411764706,0.6458333333333334,0.11570247933884298,0.24850271036603871,0.23318504438217388,0.6041356926051858,0.6641007487606587,0.35692240345515286,1D,ETHUSDT,Online directional-change (stock-tuned),all history
