test,alpha_ann,t,ann_ret,cagr,sharpe,max_dd
"long-only (primary, delist -30%)",0.053131342100121395,3.121969416955535,0.26438947201926355,0.27624891564439463,1.3156221881799466,-0.4101824633962665
"long-only, delisting return 0%",0.056193348692280876,3.3172972350338417,0.26748836509391605,0.28019831272474854,1.3308393574231165,-0.4079448694844241
"long-only, delisting return -100%",0.04598666011394402,2.6599217128116717,0.25715872157416014,0.2670551378959294,1.279455471795191,-0.4153831375724064
"long-only, survivors only (bias check)",0.057610297765960806,3.441113194924861,0.2698725815036594,0.2833667051483845,1.3456613485531106,-0.39674439325699773
"long-only, top-300 liquid",0.03609585273560355,1.95013643713231,0.23844625752698784,0.2439828035237224,1.1951563283522972,-0.403088605282761
"long-only, top-200 liquid",0.027150867822849593,1.3329541982407735,0.21227592724418098,0.21221328493697092,1.0706801177749081,-0.4114393990986901
"long-only, top-100 liquid",-0.01961928414665527,-0.9017037499925312,0.1594336176699635,0.14968572657318427,0.8004216334916453,-0.40297954324896323
long-short (unscaled),0.12713707474859498,4.036267417103427,0.17286229398798084,0.18000827931032531,1.430328286788267,-0.16532363924072224
