year,alpha_ann,t,ann_ret,cagr,sharpe,max_dd
2011,0.13883004145030922,2.2917377411819677,-0.062229635753620664,-0.07665056761532206,-0.33236088733014135,-0.187902917235651
2012,0.2446028488919574,3.548292994770702,0.5372907931661112,0.6980273848928323,4.439219275522133,-0.06107192217180968
2013,0.21232460803321757,3.9617695555976553,0.2138448602816358,0.21573597006010595,1.1129177617994221,-0.17827334523970417
2014,0.1856695253498988,3.0739457050685592,0.7133762358314819,1.0198223284072139,5.200375231164237,-0.059670214267889654
2015,0.09489877514125807,3.021882415563449,0.2639269411103903,0.28201686724236413,1.5055494001575846,-0.12762322662028258
2016,0.10107786278765354,2.562449985100145,0.20001606780927178,0.18627747603566816,0.8294109734178328,-0.20490079483915724
2017,0.03689981398038783,1.4927289423531336,0.5270432338617084,0.6786499628890186,4.03556283955434,-0.06972988148160064
2018,0.09120722781455981,1.4048016978591222,0.007090142352092753,-0.012943925739554578,0.035348121171453514,-0.18829339078527318
2019,0.0628145325294644,1.2833873983619597,0.13404695111290615,0.12837724159025263,0.8189056303214826,-0.15155531918330123
2020,0.13522275314631568,1.4492371658451713,0.46391998503058507,0.503245600935752,1.396568779437281,-0.3855301019742735
2021,0.1337337661145193,3.7152024369278958,0.5738312672582967,0.7520027110754779,3.6347636700923904,-0.07012763777781073
2022,0.00105482832608127,0.03513013080804829,0.06845954501650678,0.048665184951783444,0.3346218170156329,-0.19639263109581262
2023,0.006903679380427048,0.23691948490598416,0.42122960003311566,0.5111256858346701,3.323518849956347,-0.06610360743651078
2024,0.04573201192072507,1.8358563575165896,0.28635111353284326,0.31352024397836814,1.742744386303611,-0.10146888174735014
2025,-0.024019766779760726,-0.8085754176214607,0.05468666293355739,0.03286389593763369,0.25946461158514367,-0.21807187301279363
2026,0.011387946941022385,0.4690770877456766,0.18036853636435754,0.18122716251086238,1.0845772767280197,-0.11995289945822085
