coin,MODEL,EMA50,EMA200,GOLDEN,MACD,TSMOM30,TSMOM90,DONCHIAN20_10,SUPERTREND10_3,ADX25_DI,BUY_HOLD
BTCUSDT,0.18495545557714432,0.7588994415068211,0.7115685585389423,0.5178563042470462,0.49318136432449483,0.6355711416826657,0.6294803679668971,0.42583629966815084,0.25084222527089467,0.6185906042965372,0.46286078350096
ETHUSDT,0.03547682977922575,0.4549060780995247,0.5033639973655395,-0.0214553885977895,0.24815255679511855,0.6868240792066423,0.232441367823566,-0.04184159228740052,0.24206629848190353,0.5732166604279486,0.20538242056732925
BNBUSDT,0.38073358577512867,0.5609375331187341,0.018904064330947577,0.3880203502884705,0.47396821524506466,0.47272513634459096,0.4500355938968562,0.5879921512222748,0.33180892880821383,0.28089664703761036,0.39108906653358466
SOLUSDT,0.8000418329346186,0.6672745095001913,0.5515982541461969,0.2079583449946104,0.5304356106662792,1.0057538712425629,0.4098120506523072,0.421343489205327,0.7964619027075832,0.42825672500651507,0.34816955867116806
XRPUSDT,0.6545165482858216,-0.08434281844350326,0.2677738164820947,0.3484445220514736,0.41892998903343276,0.21366967729180508,-0.09715857660162341,0.4454808536343776,0.24926881014743005,0.3989889278812727,0.5180965127338272
ADAUSDT,0.3732403163242796,0.06331940516997814,0.24536940198697874,-0.12542502319338622,0.011789737154164618,-0.20852734422197547,0.253918588769041,-0.1004792934374081,-0.3856798488444439,-0.10034160893329287,-0.016578692365055193
DOGEUSDT,0.2858619813579703,0.3498263258636097,0.20346673314130467,0.2912937215229046,0.28948248126306236,0.4356899777057802,0.30649186263237793,0.5281964971633853,0.2550209679078834,-0.1645072459739971,0.28128187627998474
LINKUSDT,0.27424657374131656,0.24315211779843207,0.47136268789781643,0.03598974277602547,0.11730370737414712,-0.0581750475860303,0.02704495655095215,0.0034699015032971254,-0.11167701349198238,-0.04081672163561287,0.27842188714719707
AVAXUSDT,0.18931547337293725,0.34330556811547513,-0.14328527035939162,-0.04476412836476451,0.3232793934869059,0.2643133113838473,-0.15506322815237902,0.4287129831989685,0.05767606796510256,0.3128342083449418,-0.13033056645901675
TRXUSDT,0.42506267012046073,0.5102306658447368,0.6450889195440516,0.5712178726282429,0.18913926153802685,0.3864361880604431,0.6168736939869062,0.6864841308533345,0.5625761046188424,0.34301203606898656,0.8022048359801143
