group,n_assets,start,end,alpha_ann,alpha_t,alpha_bh_ann,alpha_bh_t,beta_bh,beta_tsmom,beta_ema50,beta_baz,sharpe_model,sharpe_model_lf,sharpe_bh,sharpe_tsmom,sharpe_ema50,sharpe_baz,assets_alpha_pos,assets_alpha_p,assets_t_gt2,assets_t_lt_m2,xs_rank_ic,xs_rank_ic_t
Stocks all (1D),861,2011-01-03,2026-09-21,-0.036658910678892806,-2.1059608862927774,-0.032718044297103246,-1.588679785373304,0.31198807821162144,0.13917323338659013,-0.22980430228320312,-0.23909930252199332,0.08022730262445685,0.3277044925023023,0.5334979786687571,0.11506179530548231,-0.3377266014313721,-0.16612551688020769,207/860,1.610450072057624e-54,4,133,0.0332598080467566,4.8585705937520745
Stocks top-50 A (1D),50,2011-01-03,2026-09-21,-0.03200684092588229,-1.6770339517074946,-0.034385450095503464,-1.5669868890461656,0.36590202822838847,0.08163187035329611,-0.2351347566232313,-0.04748977880826504,0.33117810210392856,0.6067122833110593,0.9038650891335077,0.46489584881205986,-0.22894410700829232,-0.054168220395938035,18/50,0.06490864707227217,1,6,,
Crypto 4h,10,2021-01-01,2026-09-23,0.034364110284024876,0.21719206648968245,-0.1076784352608578,-0.632638361794878,0.14322008984423915,-0.185961424269391,0.01988798246095007,-0.2554448654714801,-0.11711882852366771,0.3330606233634434,0.48651330085371886,0.488560870126234,0.25370850281148544,0.8428147357171327,6/10,0.75390625,0,0,,
Crypto 1D,10,2021-01-01,2026-09-22,-0.029268374008523383,-0.18952939006278816,-0.22789184620560285,-1.0773435356220942,-0.04242362806289585,-0.43706275512351483,0.03603979036199755,-0.29034000096237284,-0.5590435495117335,-0.00658555713797785,0.45515008564013876,0.726582203005819,0.6777101631836937,0.6645796417994856,2/10,0.109375,0,0,,
