variant,alpha_ann,alpha_t,turnover_day,ann_ret,cagr,sharpe,max_dd
PRIMARY top-2 of 5,-0.004004295263631467,-0.05719770698118964,0.17224505774124096,0.22138980985954984,0.06239602637768995,0.39130212082840693,-0.6672800843785981
top-1 of 5,-0.03712478799054047,-0.3638945704761211,0.2904678019181836,0.19000515551951763,0.026064621044308962,0.33172994895873614,-0.6969048563302991
top-3 of 5,0.03880567757492805,0.5924165022600227,0.08938474587329549,0.26437463477600953,0.1050164939894159,0.4621389779008149,-0.6539812401826888
top-2 + cash filter (universe top 20%),-0.054981696208039346,-0.7685190591285108,0.16754746525738895,0.15950873846028782,0.017458360247221756,0.2995129618000377,-0.6480614898295435
EW 5 coins (rebalanced daily),,,,0.23489179205201477,0.03268817715006239,0.37042420733578485,-0.7497690150136362
BTC buy & hold,,,,0.23403698798530517,0.11233993109840505,0.46286078350096,-0.6659077442982531
