strategy,alpha_ann,alpha_t,turnover_day,ann_ret,cagr,sharpe,max_dd,buy_precision,mean_fwd,false_buy_rate,time_in_market,avg_exposure,n_held_days
MODEL (stage 20),0.10514148268990153,0.5442651620837843,0.48403755868544596,0.010567564479166767,-0.18698151088846443,0.01629381995689748,-0.8828736658551111,0.4852026858990301,0.003911172971129417,0.3175826908729172,0.4982394366197183,0.4769953051643192,4021
EMA50,,,,-0.4291799346226733,-0.545561609455125,-0.5058108473359816,-0.9792823453366909,0.43134306402314443,-0.004609507974237204,0.40291920694333205,0.994131455399061,0.9941314553990609,61181
EMA200,,,,-0.6371210691190331,-0.6277634395703716,-0.7653127230840884,-0.9917064805756817,0.43167821792239996,-0.005685558542609215,0.3973293225747444,0.9982394366197183,0.9982394366197183,49201
GOLDEN,,,,-0.5331551379180767,-0.578341118297639,-0.6641679553740316,-0.9845856270323586,0.4332692447217587,-0.008539172820746899,0.38395124428643984,0.9994131455399061,0.9994131455399061,55132
MACD,,,,-0.3668802887996248,-0.5177251328855644,-0.4346668576567579,-0.9738956382281796,0.430206841230734,-0.0059625995345413685,0.3899043144445081,0.994131455399061,0.9941314553990608,87265
TSMOM30,,,,-0.38326923664376505,-0.5082987194809965,-0.47628607073482676,-0.9695225837625329,0.43904885698946,-0.0023226679768413305,0.3882986238661731,0.9994131455399061,0.9994131455399058,70778
TSMOM90,,,,-0.3971881292435133,-0.5227969385628245,-0.4827737857258013,-0.9729290221746586,0.4389392037980617,-0.003862876445055008,0.38639834288392627,0.9994131455399061,0.999413145539906,66139
DONCHIAN20_10,,,,-0.45583746741215175,-0.5530653678683319,-0.5462868442832693,-0.9805622342723422,0.4308591422035104,-0.003817226504907012,0.40158025260972374,0.9994131455399061,0.9994131455399061,52017
SUPERTREND10_3,,,,-0.34358171788553143,-0.4939586009682963,-0.4199901070185486,-0.9655290831228344,0.42808598868266834,-0.003882770426571369,0.3971577083123353,0.9982394366197183,0.9982394366197181,69451
ADX25_DI,,,,-0.8479609879493394,-0.7054588574276602,-0.98740754127801,-0.9971666688816282,0.4135727042015227,-0.008005385287106037,0.42327756368079705,0.9929577464788732,0.9929577464788732,42556
XS_MOM_TOP20,,,,-0.49797979705473777,-0.5733573652799616,-0.596365484303554,-0.9853443367877803,0.41699628077218254,-0.009679843671619892,0.41534329063108805,0.9994131455399061,0.9994131455399062,33878
DUAL_MOM,,,,-0.5851012115377137,-0.5804220878956453,-0.7823666473498923,-0.986442690595033,0.40863174028145466,-0.01009299699217081,0.4304723422042636,0.9994131455399061,0.8474765258215963,28708
EW_UNIVERSE,,,,-0.3591353984214991,-0.49972931413527016,-0.4459694429019451,-0.9671168402252035,0.43737271777435405,-0.006492926273494959,0.3728417361738299,0.9994131455399061,0.9994131455399065,169407
BTC_BH,,,,0.23376229668485293,0.11220094188595468,0.4625890719936208,-0.6659077442982531,0.5206367924528302,0.004871845711022615,0.16863207547169812,1.0,1.0,1696
BTC_EMA50,,,,0.2450320336527681,0.21328207458197493,0.7584535061646005,-0.4211536882984491,0.5218446601941747,0.007016813848167658,0.16868932038834952,0.48826291079812206,0.48826291079812206,824
