Date,MODEL,EMA50,EMA200,GOLDEN,MACD,TSMOM30,TSMOM90,DONCHIAN20_10,SUPERTREND10_3,ADX25_DI,VOTE,BUY_HOLD
2011,-0.3365595315500358,-0.17207835266077445,-0.15147332978842992,-0.127780074277679,-0.24329304157116305,-0.19014129898637963,-0.17150216536949567,-0.13720758371324446,-0.19445079651609257,-0.08568101445511864,-0.159797374965476,-0.3364298240104411
2012,0.4184199030521704,0.1454331065424978,0.07625976494953707,-0.0001416803432336875,0.30810843669843074,0.2375415654702337,0.036177177025531894,0.0037538137051622957,0.17312430828253425,0.07640063473352875,0.09588213490811534,0.4184199030521704
2013,-0.0007332171452976762,-0.07486876548726225,-0.06796021997258109,0.057822420164788016,-0.02711129934610233,-0.006167333408463808,-0.044351393656921215,-0.0206331844627565,0.017261053063241074,-0.02413450358472271,-0.04716003910542238,-0.0007332171452976762
2014,0.4622812746728852,0.2574801407454022,0.34755735227184,0.3564980926187307,0.20530004671074475,0.23826971012205492,0.2929905865815527,0.22049198188038252,0.2728791741540237,0.16497706415859723,0.2553649981320101,0.46055793370567616
2015,0.014994262048312204,-0.08289536566967029,-0.014326762157062252,0.034797829346370816,-0.07128093289817128,-0.0600646289373673,-0.00331375141067921,-0.04571496242584112,-0.0628801323289211,-0.028931993540625076,-0.07774889877685746,0.014994262048312204
2016,0.04317149252038019,0.004379414164413325,-0.013064458580242553,-0.0032519444883581895,-0.046137216085107846,0.053167767308053795,0.0018628474484372087,0.0129869018763027,0.04916205274593827,0.00629607191588926,-0.007584911903701347,0.04317149252038019
2017,0.45759849697323424,0.2293143512923112,0.29876044296987736,0.3134588193368266,0.17591772809008818,0.21225792770989996,0.24734353806611192,0.15923292111203513,0.21277135089754456,0.09147670743451591,0.2042077431515123,0.45759849697323424
2018,-0.1285051166514004,-0.11926235742044379,-0.13052785276640214,-0.0903970200307311,-0.05844118433211258,-0.14297021928090106,-0.13546916362040826,-0.05930684275103167,-0.10078858699778172,-0.06273082198612923,-0.11084652258150746,-0.1285051166514004
2019,-0.011364745725668356,-0.07003145959981627,-0.02265269979121045,0.011270459864776336,-0.028220630570899435,-0.05549855342938251,-0.027243309810184527,-0.038209389772974674,-0.038623820227443054,-0.057525302838652696,-0.056000124125930896,-0.02688565137868169
2020,0.2012002344596964,0.25077640515078325,0.14736549270333973,0.009148092231772533,0.2901967109251678,0.2788151718355033,0.12788185943353264,0.19435687321597744,0.26912399033724577,0.10052803894699398,0.21032504182416512,0.2012002344596964
2021,0.3349032759931797,0.1537484912202415,0.2676982253548544,0.31064574404071926,0.11606506441971524,0.16763864816928642,0.2620747263741811,0.10687263279127097,0.14854002513427803,0.08029806744997886,0.168018587270887,0.3349032759931797
2022,0.039286328123279035,-0.013741436539039326,-0.05045145159766815,-0.017196083010406725,0.04080422637596846,-0.015885314070470866,-0.018094051960462102,-0.012707169306133909,-0.038376765990713255,-0.014077200645642367,-0.02054910192896636,0.0425976341547724
2023,0.3901602575469215,0.28651579499877283,0.34198818813920445,0.31330926126424513,0.15933370397106705,0.3008725626508564,0.31521685199486416,0.2244221145270934,0.25965642977527303,0.16464907083599611,0.28815462095739147,0.3901602575469215
2024,0.21726770754023975,0.10822108741244071,0.20356727904644245,0.2328155049440286,-0.05311749327303085,0.09907776491587907,0.18899134672490717,0.0173362952392328,0.024730275288115975,0.021338590109900406,0.09869167469490771,0.21726770754023975
2025,0.04040875954854996,-0.042743534491138394,-0.05775169658420849,-0.027013571470164668,-0.0900181059027868,-0.024597070969232457,-0.042699880203921396,-0.01626226178177437,-0.014598667118815231,-0.037182109859596954,-0.04571360286936398,0.04040875954854996
2026,0.02198685183987261,-0.018036195193128973,0.008016177687551935,-0.003576369000780409,-0.0046735944325885966,-0.04216515942176656,0.0029366192643078795,-0.021861787972256654,-0.029489729653920195,0.014784826750113734,-0.020849801328425104,0.02198685183987261
