,y_ret,y_ret,y_ret,y_orc,y_orc,y_orc
,2019-21,2022-23,2024-26,2019-21,2022-23,2024-26
ev_atr_pct,-0.034927817193551924,-0.00704506651632919,-0.016057540420365446,-0.006781300160089043,0.014707229115462406,-0.010936055692049584
ev_down_len,-0.04964136254912349,-0.04430970772358922,-0.006742819366178154,-0.045409528525583,-0.04273561391914732,-0.03219967848988192
ev_flips_168,0.04138546670929788,0.021919394873740616,0.022365723657236658,0.037212768186190015,0.016984659137317726,0.0401089451851907
ev_prev_len,-0.012400623776908037,0.017154105736782888,-0.028430447095168676,-0.0058715288056131465,-0.0029899583930458884,-0.017260090278255702
ev_prev_ret,-0.012850619699934784,0.007980222780940904,-0.034814274499334164,-0.009371991498190568,-0.018428898145879336,-0.02062196646896214
ev_prev_ret_atr,-0.014877385029354206,0.009581009915328287,-0.03471193239064174,-0.004626125729707442,-0.011615171563713556,-0.022634349506172602
ev_ret_p,-0.0057754339669987,-0.017031867453622895,-0.0014434369149893267,0.023428762489432375,0.0062342365086790474,0.03390983209682752
ev_since_prev,-0.03986591854207433,-0.024734215230222067,-0.02369299274388098,-0.03874990332791972,-0.03176150131553218,-0.029067341676725478
ev_up_168,0.027572941666902828,0.024381861709091512,-0.025931329080732646,0.020301312349288336,0.009784502709031084,0.006694149396192062
h1_ad_slope_20,0.007891642821584832,-0.006215449315866373,0.015182070425355465,0.03490692509461968,-0.00813637477445367,0.004349468975141546
h1_ad_slope_60,0.00011028771941190563,0.007462546991602315,0.029321014140373913,0.017078105045079894,0.00734742672993105,0.039269057347956826
h1_adx14,-0.023091111821629262,0.014382703349729686,0.004726171292720682,-0.024237143410372863,-0.01630802016736843,0.00045783883948846693
h1_adx56,-0.0353502495133175,-0.02399811365622051,-0.008919655088023726,-0.021098847845569646,-0.021322017033852392,-0.011845223814067274
h1_atr_roc_14,-0.0061417106131188,0.021743719089745595,-0.009473319539396952,-0.01405355417792209,-0.0008625831953447682,0.0005164248521245529
h1_atr_roc_56,-0.013624580603122105,0.04845311794457996,0.02728466044350375,-0.018791682141236,0.01600791051905981,0.010127320734550804
h1_atrp_14,-0.034751761568068806,0.005631978603624743,-0.011304194437293247,-0.015519538164784907,0.01615920290877415,-0.01047434211627557
h1_atrp_56,-0.03505252326160252,-0.00910775404855868,-0.016512041089403184,-0.006260455253894015,0.013855784010157968,-0.011045943213104925
h1_atrp_z_14,-0.013728797438896545,0.03025965281655707,0.006839440487428128,-0.024816447800706576,0.002847638353641768,0.004048944428842183
h1_atrp_z_56,-0.01979932523850647,0.001929761748902581,-0.01762890497122027,0.010846049495640608,0.030813526096544974,0.0049928301879773596
h1_bb_bw_100,-0.03898367337027131,0.003709898495467212,-0.03297195762655297,-0.020882997442595974,0.0080596457097315,-0.021373820297790558
h1_bb_bw_20,-0.027520327342045736,0.0029838164528721567,-0.013959209359535485,-0.003718129000242265,0.01755301112076424,-0.011828019984959803
h1_bb_bw_50,-0.03421398245919355,0.013981254124707077,-0.009910498329789519,-0.02058249982276994,0.016168175259084316,-0.011425822358530291
h1_bb_bwroc_100,-0.0012875332380879456,0.05006158671971228,0.021865296172341564,-0.033722922148896606,0.010750113237248726,-0.00185181396554146
