t,PRIMARY top-2 of 5,top-1 of 5,top-3 of 5,top-2 + cash filter (universe top 20%),EW 5 coins (rebalanced daily),BTC buy & hold
2022,-0.6500633095940246,-0.6590597989365056,-0.6469793068670011,-0.6266432375290397,-0.7396884626783734,-0.6479584577878492
2023,1.2658605269484284,1.1278201369793224,1.2106677542390079,1.3178783686430007,2.193602795790716,1.724915583726421
2024,0.8727775317889502,0.4977065781962786,1.0046323268002333,0.6237521161186601,0.8960594547835329,1.0926288210115376
2025,0.1397423836628947,0.32212543815721323,0.23941260771072123,0.0016100032914122988,-0.11967855211610327,-0.06377916848932455
2026,-0.21633492265096324,-0.21507903214405596,-0.178185756458526,-0.229739259713772,-0.16271937230777123,-0.1258443760299445
