filter,alpha_ann,alpha_t,ann_ret,cagr,sharpe,max_dd,fwd30_on,fwd30_off,crashes_avoided,rallies_captured,flips_per_asset_year,time_in_market
MODEL,0.000837931401727074,0.6167849772103726,0.13365347269070224,0.11662936262165442,0.6206326955762372,-0.4864544874059852,0.014031290035211511,0.06752603381543651,0.001545993300695697,0.9931618119309381,0.7152743130863227,0.9960946964466688
EMA50,,,0.05027748000693116,0.04430505057813859,0.4283489564629409,-0.254723389167393,0.01358569289229269,0.015121337354706742,0.5020613244009275,0.547243945747856,19.402955751617597,0.5737878318140253
EMA200,,,0.07018971785506038,0.06414972103861209,0.5558028740064851,-0.2576492573517314,0.014601263400278243,0.013613083733117958,0.49929141973718116,0.5805659450678152,9.213228242240312,0.6346209458702522
GOLDEN,,,0.08354152192652298,0.0779299269992305,0.6426768136617228,-0.3073835956064386,0.017621358822744525,0.009679829813169557,0.5420639010564288,0.5670784691525936,1.2748559478232546,0.5742437545103781
MACD,,,0.038639715387510445,0.032941033167245684,0.3466047234958925,-0.2369823174520772,0.014525327540042094,0.013962381299068993,0.5324658593146097,0.48350901054063244,19.718901144920753,0.4935141739853115
TSMOM30,,,0.06271254615812492,0.057006213729673114,0.521338596362374,-0.2829088544962549,0.01328849107898852,0.015472608313173186,0.4902731254831229,0.5429370206656844,19.261594616881958,0.5642577448239747
TSMOM90,,,0.06283521654094544,0.05642038473559121,0.4995149661610889,-0.2918801401996116,0.013542847633812194,0.015301711160546063,0.46798505539809326,0.5816237863160678,10.780577966544222,0.6035192021613341
DONCHIAN20_10,,,0.03635120368118885,0.032669458490694275,0.39751913974612046,-0.20071909892730855,0.013504576941492449,0.014759691423020495,0.6305720175212574,0.39582152706940193,7.591158078683897,0.41389704483934586
SUPERTREND10_3,,,0.057178519730734456,0.051901627342627155,0.49987252953006445,-0.21538164355866873,0.013727413096299306,0.01483390230858703,0.5088250450914713,0.5208734746307001,6.5449553948800405,0.536561092338675
ADX25_DI,,,0.025605416240708452,0.023740284083874595,0.391846841544065,-0.1752337066027666,0.01904829756475358,0.012588412730876715,0.7769260499871167,0.28221693301598094,8.790447705634644,0.25569968502254864
VOTE,,,0.04641521990068666,0.041258964747787015,0.42546473281993685,-0.24258755197695647,0.014459669628813367,0.013993875593155293,0.5542385982994074,0.5071970984925762,15.4891414774622,0.5288338539536314
BUY_HOLD,,,0.1328155398583184,0.1156433362981444,0.6161322482729452,-0.49451680504541673,0.014240203248180967,,0.0,1.0,0.45600366043754637,1.0
