variant,trades,win_rate,sharpe,cagr,max_dd,total,in_mkt,group,asset,start,end
HYBRID,183,0.36065573770491804,0.31518140393065647,0.2725064435495639,-0.7869981910054329,5.436141409116922,0.6004848341512447,Crypto 4h,ADAUSDT,2019-01-01,2026-09-23
MODEL-FLIP,282,,0.1732112018034849,0.18167867931363935,-0.9577267692712613,2.632000872115324,1.0,Crypto 4h,ADAUSDT,2019-01-01,2026-09-23
BUY & HOLD,0,,0.23908239449900298,0.25909752447644196,-0.9537401574803149,4.930348258706451,1.0,Crypto 4h,ADAUSDT,2019-01-01,2026-09-23
ORIGINAL,283,0.33568904593639576,-0.00862959808538334,-0.006365505642222158,-0.8064502197943513,-0.04814109474479067,0.7927629634009342,Crypto 4h,TRXUSDT,2019-01-01,2026-09-23
HYBRID,151,0.3708609271523179,0.16080588892817874,0.09200774480468876,-0.711579293792737,0.9739680394761732,0.4538520664577544,Crypto 4h,TRXUSDT,2019-01-01,2026-09-23
MODEL-FLIP,232,,0.33922000671931624,0.3102420905263408,-0.8414848548696554,7.06646532272096,1.0,Crypto 4h,TRXUSDT,2019-01-01,2026-09-23
BUY & HOLD,0,,0.4729164482910795,0.45739539636491,-0.7905876494023905,17.358369098712796,1.0,Crypto 4h,TRXUSDT,2019-01-01,2026-09-23
ORIGINAL,231,0.3939393939393939,0.6466442456666774,1.027294353995317,-0.8379558012037306,163.38082046354978,0.7468835031323167,Crypto 4h,DOGEUSDT,2019-07-05,2026-09-23
HYBRID,145,0.3793103448275862,0.13141296686105777,0.09709650068924791,-0.8530957506188451,0.9523429207511436,0.5234449155223692,Crypto 4h,DOGEUSDT,2019-07-05,2026-09-23
MODEL-FLIP,238,,0.18927201282506823,0.250271930830275,-0.9821540415872182,4.01584916230731,1.0,Crypto 4h,DOGEUSDT,2019-07-05,2026-09-23
BUY & HOLD,0,,0.3769659062037432,0.5601202393732374,-0.9294398092967814,23.805372000321707,1.0,Crypto 4h,DOGEUSDT,2019-07-05,2026-09-23
ORIGINAL,245,0.3836734693877551,0.6368024009009525,0.9726696213025772,-0.832390787003059,163.37508978311018,0.8131273191799988,Crypto 4h,ZECUSDT,2019-03-21,2026-09-23
HYBRID,149,0.40939597315436244,0.83401332331789,1.1208499048913723,-0.7023581643689585,282.18159369543474,0.6094652959425756,Crypto 4h,ZECUSDT,2019-03-21,2026-09-23
MODEL-FLIP,252,,0.8236532892010302,1.5621485896138512,-0.7206733101630489,1170.082858198139,1.0,Crypto 4h,ZECUSDT,2019-03-21,2026-09-23
BUY & HOLD,0,,0.37969513214643497,0.5431179419175705,-0.9550060247562713,24.993407356002766,1.0,Crypto 4h,ZECUSDT,2019-03-21,2026-09-23
ORIGINAL,235,0.3659574468085106,0.4597749552065591,0.4768169552739048,-0.7337979857201593,13.282543987103972,0.7755375443767164,Crypto 4h,BCHUSDT,2019-11-28,2026-09-23
