n,acc,bal_acc,mcc,capture,flips_per_oracle_flip,flip_precision,entry_lag_frac,missed_move_frac,exit_giveback_frac,ls_sharpe,lf_sharpe,bh_sharpe,set,ticker,clf
3913,0.8042422693585485,0.6713863482879082,0.38232806514545803,0.1753567764087893,2.076923076923077,0.7037037037037037,0.284020618556701,0.3931531894244023,0.37403649975688563,0.4406104628128926,0.7339705359087568,0.7659870564387473,A,AAPL,MODEL calm
3913,0.7222080245336059,0.6641714373203189,0.29622576387309385,0.05662588372121888,2.5384615384615383,0.696969696969697,0.2565818830879072,0.3654699191367734,0.47474287816835326,0.13113625160435355,0.6362299207926113,0.7659870564387473,A,AAPL,Crypto model C
3913,0.7319192435471505,0.6282533988301824,0.24844018618834546,0.12374628185336951,1.6153846153846154,0.7380952380952381,0.4524617996604414,0.44689232833216663,0.5389353082826113,0.30997256277386726,0.6691593410605148,0.7659870564387473,A,AAPL,EMA cross (calm-tuned)
3913,0.6693074367492973,0.7149242316866399,0.357919441041955,-0.019152100758900857,3.6153846153846154,0.6382978723404256,0.10335621662852784,0.3062576122536703,0.38631028038869253,-0.07088283417693832,0.5751152421471194,0.7659870564387473,A,AAPL,SuperTrend (calm-tuned)
3913,0.7308970099667774,0.6424747849510858,0.2690312018496278,0.14332116622335006,1.4615384615384615,0.8157894736842105,0.3706690561529271,0.4358704467698584,0.4157186741431542,0.3613621377862175,0.7475312592054998,0.7659870564387473,A,AAPL,Online directional-change (calm-tuned)
3936,0.764989837398374,0.6634153538598175,0.3676148662319471,0.10215172803622455,2.0,0.7115384615384616,0.26773182021800807,0.46324181788913876,0.3925040233821403,0.2227455867321568,0.5673928270489883,0.704329844517358,A,MSFT,MODEL calm
3936,0.7469512195121951,0.7004125696807362,0.38992994525454727,-0.062113477835784366,2.3076923076923075,0.7166666666666667,0.2564522494080505,0.41531704606687675,0.5338052438318721,-0.1577024162295876,0.37065373416591196,0.704329844517358,A,MSFT,Crypto model C
3936,0.7398373983739838,0.6714296218544733,0.3464377875493896,-0.026582328360043508,1.9230769230769231,0.66,0.29169297553275453,0.506609844214797,0.5753935370744191,-0.07341577751768126,0.3965648734006169,0.704329844517358,A,MSFT,EMA cross (calm-tuned)
3936,0.6702235772357723,0.6799462365418769,0.3248943253515171,-0.015572972394263526,2.6923076923076925,0.6714285714285714,0.15315231541751906,0.33173232176323386,0.4338220992102947,-0.0529014184068174,0.5230418020902438,0.704329844517358,A,MSFT,SuperTrend (calm-tuned)
3936,0.7334857723577236,0.6969513704640695,0.37551789150788245,-0.008950404844335912,1.6153846153846154,0.7857142857142857,0.29298029556650246,0.47205561555629916,0.5000326178991743,-0.030827556392176755,0.4508295030153178,0.704329844517358,A,MSFT,Online directional-change (calm-tuned)
3863,0.8325135904737251,0.7096509289645866,0.478522283001665,0.2742011142477159,2.1,0.6904761904761905,0.17251131221719457,0.3946007194973492,0.39054180525394744,0.640000057441047,0.9057602322438199,0.9133841245360707,A,NVDA,MODEL calm
3863,0.7853999482267667,0.7130002726520799,0.41152362209767324,0.17136427614182112,2.4,0.7083333333333334,0.14960407239819007,0.3680393458334714,0.45870044361763723,0.3966986470452385,0.8360177173586927,0.9133841245360707,A,NVDA,Crypto model C
3863,0.7815169557338856,0.6988109085271366,0.3900291003918652,0.21749381849558347,2.4,0.6666666666666666,0.2092911877394636,0.4247034589474841,0.41597950013465573,0.5054397576183902,0.8669226256524494,0.9133841245360707,A,NVDA,EMA cross (calm-tuned)
