t,MODEL,EMA50,EMA200,GOLDEN,MACD,TSMOM30,TSMOM90,DONCHIAN20_10,SUPERTREND10_3,ADX25_DI,XS_MOM_TOP20,DUAL_MOM,EW_UNIVERSE,BTC_BH,BTC_EMA50
2022,-0.8101583330730401,-0.8739401882589241,-0.9619488350681258,-0.8911814162172832,-0.7833226684771941,-0.8771824281286503,-0.8781975336749478,-0.8472870032865987,-0.7952088625361468,-0.919328868743121,-0.8997806832668285,-0.8851765080192807,-0.8500550202063005,-0.6479584577878492,-0.42086821408914005
2023,0.09065081723704073,0.8671143576047451,1.3167460534043631,1.068443214094769,0.458935670270178,1.5561054877488838,1.3389176383311183,1.447135218316242,1.3318341505664397,0.897314826630491,1.2207683206605633,0.8176746418962768,1.1063621967220643,1.724915583726421,1.336536727455907
2024,0.7325263616327458,-0.33119624845762075,-0.21937114241941436,-0.1696940070726168,-0.4637656710559768,-0.2110315786668134,-0.11270293737499786,-0.44945484612602576,-0.4409853079494675,-0.7514660840751158,-0.21768987213319493,-0.2495906198919246,-0.07161117768881166,1.0926288210115376,0.6660329572849953
2025,0.028547992647234552,-0.7217050467407778,-0.7402438575038499,-0.8257066747011225,-0.7751128776714387,-0.7375223795643728,-0.8117054989118423,-0.7871725000805342,-0.7328373270907466,-0.8087114475178705,-0.8015776498026421,-0.7960531144659853,-0.7833621769810173,-0.06377916848932455,0.05868757992167409
2026,0.031152161295132225,-0.42539044889708194,-0.44522772622585743,-0.4551605118603753,-0.12844594514799096,-0.4406049314571179,-0.3355680673698432,-0.4681221609876925,-0.41684128359031736,-0.5431439371993176,-0.45733318539769685,-0.4570734776981319,-0.3794001102492626,-0.1258443760299445,0.03317426549705984
