book,alpha_ann,alpha_t,ann_ret,cagr,sharpe,max_dd,turnover_day,b_MKT,b_SIZE,b_UMD,b_STREV,b_LOWVOL,b_UMD_VM,b_TREND
PRIMARY vol-managed long-short,0.019395591118211913,0.825700063523089,0.029144712380408177,0.02374305204098832,0.27346814438713835,-0.32741373495547843,0.10307054184330995,-0.13639997428389597,0.2844511794212665,-0.3264258618652155,0.006073482696725108,0.15391407886150327,0.7760472713184937,-0.13846337600825478
unscaled long-short,0.0013907108396091746,0.05808731554587243,0.01866877544959788,0.011275121271023295,0.1527366314878923,-0.48060831613148935,,-0.17202379865888764,0.3350162773424051,-0.4773165495312725,-0.03717384102263372,0.10622865898060158,0.9534186723745274,-0.22023064941292975
long-only top 20%,0.01193107753573058,0.9607896548659882,0.19000089944927417,0.18803603430385443,1.0118415569969068,-0.4072941054911925,,0.8962838617797895,0.16835682783045805,-0.2553561547015387,-0.015495103087422576,-0.055770915101098245,0.46986988251859213,-0.09557328478564672
costs 10bp (unscaled),-0.011592690169694036,-0.4843412487220937,0.005681887177340816,-0.0017735119999978332,0.046485306832186685,-0.5107185402209861,,-0.17202198308368433,0.33505239338150533,-0.4772920159706719,-0.037137629908252485,0.10624056911245591,0.9533579242985838,-0.22019821401856127
top-200 by dollar volume (unscaled),0.009851005330356377,0.3449389080973643,0.02316011977673695,0.013226851987392898,0.16340296282277947,-0.43471221014089456,,-0.21423088956315492,0.4188671891069243,-0.4957925402132316,0.04979536557696361,0.11624396220341714,0.9657257263907179,-0.1352140617920933
top-50 by dollar volume (unscaled),-0.011272873875768719,-0.2689695651423936,0.001387893079194545,-0.01591819899894495,0.007438954553512096,-0.6363764928042337,,-0.264167561962629,0.3390125947698911,-0.46075679878555015,0.06231847027836644,0.037913322112695554,1.0428474197797484,-0.09578894247222877
+1 day delay (unscaled),-0.0003311031431743456,-0.01394816225098893,0.016426572579363308,0.008997265227769266,0.13426903708098775,-0.48093207939043203,,-0.17228336748465883,0.33166066087590484,-0.48725022195056283,-0.05072847717729544,0.10359027386017144,0.9615155148721829,-0.2179317325818323
