strategy,mcc_med,mcc_mean,fpt_med,delay_med,missed_med,giveback_med,mcc_med_k2,precision,n_trades,mean_net,exposure,sharpe,cagr,maxdd
META ablation: no 4h flow/deriv/cross,0.37354234542245723,0.36153725930209923,2.2211272683571686,18.0,0.3854638132837127,0.35525432793348477,0.30065313638944124,0.3809788654060067,1798,0.0029623926897031473,0.47771218343600275,0.5240439007495294,0.12943056516285822,-0.47713919095171653
"ST(10,3) 1h",0.3714070936288863,0.3636739111337188,3.428941082802548,13.25,0.3301081525927249,0.3086608498029373,0.28121145950012727,0.34554597701149425,2784,0.0009106621493554191,0.48401779603011635,0.14003183099124805,-0.01296584573325299,-0.5929433357850775
"primary unfiltered ST(48, 4)",0.3705972548555545,0.3639994923437541,2.316348195329087,18.0,0.3854638132837127,0.3509051945573347,0.2933170808345757,0.38415626695604993,1843,0.003415882140343354,0.4903832991101985,0.6005098910292984,0.1639639361021481,-0.4656782560767402
"BEST plain ST(48,4.0)",0.3705972548555545,0.3639994923437541,2.316348195329087,18.0,0.3854638132837127,0.3509051945573347,0.2933170808345757,0.38415626695604993,1843,0.003415882140343354,0.4903832991101985,0.6005098910292984,0.1639639361021481,-0.4656782560767402
META,0.3515632916371756,0.3495773331322582,2.0842179759377215,18.25,0.38447345605938754,0.35271278012193064,0.28341378599560574,0.3900584795321637,1710,0.004191350942912297,0.45951830937713894,0.7228760684309777,0.20843871930718616,-0.42048892555860273
"ST(48,4) 4h projected",0.11343552859417198,0.12317449073838001,0.5767295597484277,47.5,0.6542480221300998,0.589514827686666,0.37636106481161047,0.36774193548387096,465,0.010129547365621178,0.4768737166324435,0.409755911637383,0.08535435638486111,-0.4980795650272384
