features,oracle,ret
1h price+MTF,0.54230966009098,0.537234045459379
4h price,0.5240202925544153,0.5368980680589506
ALL features,0.5357068097351958,0.5337724841189999
event context,0.5339948676387706,0.5107083493514322
4h flow,0.5221718177293411,0.5098534711527692
1h flow,0.5048201809551117,0.5059423618647336
"ALL, shuffled training labels (null)",0.5089393760433458,0.502636515272113
4h derivatives,0.49374082387430607,0.5021667838153477
4h cross-market,0.5153173970139197,0.4932068649731566
