strategy,mcc_med,mcc_mean,fpt_med,delay_med,missed_med,giveback_med,mcc_med_k2,precision,n_trades,mean_net,exposure,sharpe,cagr,maxdd
META,0.4703070413267103,0.46850693562631307,1.656954335986594,10.0,0.2715467704358291,0.2660880941160981,0.32878890043892434,0.7564102564102564,1404,0.03126898151190094,0.3313954483230664,5.584370206412543,3.8900157292757633,-0.08294935016765914
META ablation: no 4h flow/deriv/cross,0.4638804330590903,0.4645702122155185,1.7071656050955415,10.0,0.2740253500715981,0.2634122251604502,0.3075943208137032,0.7202987101154107,1473,0.028236546611144026,0.33579312114989734,5.256939875936287,3.4800018003442377,-0.09289209601433535
"ST(10,3) 1h",0.3714070936288863,0.3636739111337188,3.428941082802548,13.25,0.3301081525927249,0.3086608498029373,0.28121145950012727,0.34554597701149425,2784,0.0009106621493554191,0.48401779603011635,0.14003183099124805,-0.01296584573325299,-0.5929433357850775
"BEST plain ST(48,4.0)",0.3705972548555545,0.3639994923437541,2.316348195329087,18.0,0.3854638132837127,0.3509051945573347,0.2933170808345757,0.38415626695604993,1843,0.003415882140343354,0.4903832991101985,0.6005098910292984,0.1639639361021481,-0.4656782560767402
"primary unfiltered ST(48, 3)",0.3664891204785137,0.3711022016237549,3.5969758064516126,10.0,0.3012183279329876,0.2802364043567127,0.23746601324678418,0.3727336122733612,2868,0.001352064645674855,0.49197467488021907,0.33391919380765295,0.056820398971056285,-0.49698727942661014
"ST(48,4) 4h projected",0.11343552859417198,0.12317449073838001,0.5767295597484277,47.5,0.6542480221300998,0.589514827686666,0.37636106481161047,0.36774193548387096,465,0.010129547365621178,0.4768737166324435,0.409755911637383,0.08535435638486111,-0.4980795650272384
