asset,alpha,t,alpha_bh,t_bh,group
AIG,-0.00023877519181409978,-1.4981107257602253,-0.00022965674295273938,-1.2190819355048208,Stocks all (1D)
AIV,-5.75078052404509e-05,-0.34926445842056747,1.2003130547148246e-05,0.07660751011516553,Stocks all (1D)
AIZ,-0.00021808911117087007,-1.3126644288671447,-0.0001970935389289011,-1.1415593601446115,Stocks all (1D)
AJG,0.00010931801018428556,0.7781849598470526,0.00010241935383007426,0.6824483709805,Stocks all (1D)
AKAM,-0.00019711986847119664,-1.0844894917137915,-0.0001445365705649773,-0.8025026776181493,Stocks all (1D)
AKS,-0.00024709247239593766,-0.5848158856168219,-0.00021566867639102397,-0.5007236431459205,Stocks all (1D)
ALB,-9.544977211358334e-05,-0.5412583109106105,-9.845937540040641e-05,-0.5426303247395113,Stocks all (1D)
ALGN,-4.272626985478857e-05,-0.22613262765952205,-0.00013964262931240635,-0.607213496390771,Stocks all (1D)
ALK,-0.00025042644362958233,-1.204715093028027,-0.0002477831756749486,-1.1245275392911582,Stocks all (1D)
ALL,-0.00021963339986613484,-1.745974012999482,-0.00019953936883655203,-1.4530067478452362,Stocks all (1D)
