cand,label,cfg,split,fpt,miss,delay
"B1w|('H', 10, 0.1, -0.1)",B1w,"('H', 10, 0.1, -0.1)",0,1.3333333333333333,0.3905264001267134,13.0
"B1w|('H', 10, 0.1, 0.0)",B1w,"('H', 10, 0.1, 0.0)",0,3.6,0.42171220474548443,14.0
"B1w|('H', 10, 0.1, 0.05)",B1w,"('H', 10, 0.1, 0.05)",0,4.0,0.42398832614660764,14.0
"B1w|('H', 10, 0.2, -0.2)",B1w,"('H', 10, 0.2, -0.2)",0,0.6,0.5,16.0
"B1w|('H', 10, 0.2, 0.0)",B1w,"('H', 10, 0.2, 0.0)",0,2.5,0.5744430576951268,18.5
"B1w|('H', 10, 0.2, 0.1)",B1w,"('H', 10, 0.2, 0.1)",0,3.0,0.5811814431956266,18.5
"B1w|('H', 10, 0.3, -0.3)",B1w,"('H', 10, 0.3, -0.3)",0,0.0,0.5,14.0
"B1w|('H', 10, 0.3, 0.0)",B1w,"('H', 10, 0.3, 0.0)",0,1.6666666666666667,0.7917606428156732,25.0
"B1w|('H', 10, 0.3, 0.15)",B1w,"('H', 10, 0.3, 0.15)",0,2.3333333333333335,0.8034345864315388,25.0
"B1w|('H', 10, 0.4, -0.4)",B1w,"('H', 10, 0.4, -0.4)",0,0.0,0.5,14.0
"B1w|('H', 10, 0.4, 0.0)",B1w,"('H', 10, 0.4, 0.0)",0,1.4285714285714286,0.8933304067079969,31.5
"B1w|('H', 10, 0.4, 0.2)",B1w,"('H', 10, 0.4, 0.2)",0,2.142857142857143,0.8933304067079969,33.0
"B1w|('H', 10, 0.5, -0.5)",B1w,"('H', 10, 0.5, -0.5)",0,0.0,0.5,16.0
"B1w|('H', 10, 0.5, 0.0)",B1w,"('H', 10, 0.5, 0.0)",0,1.2,1.0,42.0
"B1w|('H', 10, 0.5, 0.25)",B1w,"('H', 10, 0.5, 0.25)",0,1.6666666666666667,1.0,43.0
"B1w|('C', 0, 0.0, 0.5)",B1w,"('C', 0, 0.0, 0.5)",0,3.2,0.311662140738288,8.0
"B1w|('C', 0, 0.0, 1)",B1w,"('C', 0, 0.0, 1)",0,2.2,0.34456039741876593,10.0
"B1w|('C', 0, 0.0, 2)",B1w,"('C', 0, 0.0, 2)",0,1.3333333333333333,0.3905264001267134,12.5
"B1w|('C', 0, 0.0, 4)",B1w,"('C', 0, 0.0, 4)",0,0.625,0.48145496372183266,15.5
"B1w|('C', 0, 0.0, 8)",B1w,"('C', 0, 0.0, 8)",0,0.14285714285714285,0.5,17.0
"B1w|('C', 0, 0.1, 0.5)",B1w,"('C', 0, 0.1, 0.5)",0,2.0,0.3580493671792969,9.5
